#	Transition	Frequency(Mhz)	Eup(K)	Aij	FitFreq.(Mhz)	deltaFitFreq.	Vo(km/s)	Int(K)	RMS(mK)	Flux(K.km/s)	NoiseFlux(K.km/s)	Freq.I_Max(km/s)	V.I_Max(km/s)	Telescope
1	E-CH3OH(13 4   1 _ 12 4   1)	626555.283	566.0675	1.00e-03	626588.384	33.101	0.000	1.040	290.405	8.050	1.205	626588.384	-15.838	hifi
1	A-CH3OH(3 2 - 0 _ 2 1 - 0)	626626.230	51.6382	1.23e-03	626659.386	33.156	-0.243	1.427	277.068	12.694	1.534	626659.386	-15.863	hifi
1	E-CH3OH(13 -4   1 _ 12 -4   1)	626945.909	608.1566	1.01e-03	626976.394	30.485	0.000	0.808	267.915	2.202	0.472	626976.394	-14.577	hifi
1	CH3OCH3(13 7 6 3 _ 12 6 7 3)	627019.500	151.6958	1.02e-03	627055.896	36.396	3.559	0.809	233.960	4.871	0.696	627055.896	-17.402	hifi
1	E-CH3OH(13 -1   0 _ 12 -1   0)	627170.486	208.6351	1.11e-03	627201.400	30.914	-1.219	0.928	142.573	4.633	0.514	627201.400	-14.777	hifi
1	A-CH3OH(13 4 + 1 _ 12 4 + 1)	627445.456	691.8060	1.02e-03	627481.907	36.451	1.474	0.349	111.977	1.117	0.202	627481.907	-17.416	hifi
1	E-CH3OH(13 5   1 _ 12 5   1)	627529.174	631.9706	9.55e-04	627558.909	29.735	0.000	0.332	88.986	1.112	0.121	627558.909	-14.205	hifi
1	A-CH3OH(13 0 + 0 _ 12 0 + 0)	627558.416	211.0277	1.12e-03	627592.910	34.494	0.641	1.023	88.962	5.155	0.536	627592.910	-16.478	hifi
1	E-CH3OH(13 -11   0 _ 12 -11   0)	627571.983	816.4833	3.19e-04	627606.410	34.427	0.000	0.348	93.792	0.998	0.150	627606.410	-16.446	hifi
1	E-CH3OH(13 10   0 _ 12 10   0)	627647.528	698.6801	4.59e-04	627681.912	34.384	2.124	0.282	85.712	0.914	0.170	627681.912	-16.423	hifi
1	A-CH3OH(13 10 + 0 _ 12 10 + 0)	627695.287	717.3407	4.57e-04	627726.913	31.626	-0.731	0.373	89.254	0.999	0.150	627726.913	-15.105	hifi
1	E-CH3OH(13 -10   0 _ 12 -10   0)	627747.038	712.9836	4.62e-04	627783.414	36.376	1.693	0.271	77.962	0.669	0.114	627783.414	-17.372	hifi
1	E-CH3OH(13 9   0 _ 12 9   0)	627809.570	611.9648	5.83e-04	627842.416	32.846	-1.214	0.403	72.630	1.225	0.154	627842.416	-15.685	hifi
1	A-CH3OH(13 9 - 0 _ 12 9 - 0)	627898.212	629.2935	5.89e-04	627929.918	31.706	-0.540	0.346	86.844	1.063	0.147	627929.918	-15.138	hifi
1	E-CH3OH(13 -8   0 _ 12 -8   0)	627922.120	524.6226	6.96e-04	627956.919	34.799	0.782	0.421	86.883	1.392	0.175	627956.919	-16.614	hifi
1	A-CH3OH(13 8 + 0 _ 12 8 + 0)	627971.251	532.0232	7.01e-04	628004.920	33.669	-0.501	0.542	90.882	1.635	0.203	628004.920	-16.074	hifi
1	E-CH3OH(13 8   0 _ 12 8   0)	628021.220	538.2829	7.02e-04	628054.421	33.201	0.000	0.490	83.313	1.823	0.195	628054.421	-15.849	hifi
1	A-CH3OH(13 2 - 0 _ 12 2 - 0)	628051.891	248.8369	1.10e-03	628083.922	32.031	3.384	0.686	85.422	5.046	0.531	628083.922	-15.290	hifi
1	E-CH3OH(13 -7   0 _ 12 -7   0)	628115.595	463.4156	8.01e-04	628150.924	35.329	1.103	0.636	82.362	2.324	0.265	628150.924	-16.862	hifi
1	E-CH3OH(13 6   0 _ 12 6   0)	628167.747	382.0228	8.83e-04	628201.925	34.178	0.000	0.438	81.990	1.895	0.212	628201.925	-16.311	hifi
